iso_code,date,total_cases,total_tests
DNK,12/31/2019,0,0
DNK,1/1/2020,0,0
DNK,1/2/2020,0,0
DNK,1/3/2020,0,0
DNK,1/4/2020,0,0
DNK,1/5/2020,0,0
DNK,1/6/2020,0,0
DNK,1/7/2020,0,0
DNK,1/8/2020,0,0
DNK,1/9/2020,0,0
DNK,1/10/2020,0,0
DNK,1/11/2020,0,0
DNK,1/12/2020,0,0
DNK,1/13/2020,0,0
DNK,1/14/2020,0,0
DNK,1/15/2020,0,0
DNK,1/16/2020,0,0
DNK,1/17/2020,0,0
DNK,1/18/2020,0,0
DNK,1/19/2020,0,0
DNK,1/20/2020,0,0
DNK,1/21/2020,0,0
DNK,1/22/2020,0,0
DNK,1/23/2020,0,0
DNK,1/24/2020,0,0
DNK,1/25/2020,0,0
DNK,1/26/2020,0,0
DNK,1/27/2020,0,0
DNK,1/28/2020,0,0
DNK,1/29/2020,0,0
DNK,1/30/2020,0,0
DNK,1/31/2020,0,0
DNK,2/1/2020,0,0
DNK,2/2/2020,0,0
DNK,2/3/2020,0,0
DNK,2/4/2020,0,0
DNK,2/5/2020,0,0
DNK,2/6/2020,0,0
DNK,2/7/2020,0,0
DNK,2/8/2020,0,0
DNK,2/9/2020,0,0
DNK,2/10/2020,0,0
DNK,2/11/2020,0,0
DNK,2/12/2020,0,0
DNK,2/13/2020,0,0
DNK,2/14/2020,0,0
DNK,2/15/2020,0,0
DNK,2/16/2020,0,0
DNK,2/17/2020,0,0
DNK,2/18/2020,0,0
DNK,2/19/2020,0,0
DNK,2/20/2020,0,0
DNK,2/21/2020,0,0
DNK,2/22/2020,0,0
DNK,2/23/2020,0,0
DNK,2/24/2020,0,0
DNK,2/25/2020,0,0
DNK,2/26/2020,0,0
DNK,2/27/2020,1,1
DNK,2/28/2020,1,1
DNK,2/29/2020,2,2
DNK,3/1/2020,3,3
DNK,3/2/2020,4,4
DNK,3/3/2020,5,5
DNK,3/4/2020,8,8
DNK,3/5/2020,10,10
DNK,3/6/2020,20,20
DNK,3/7/2020,23,23
DNK,3/8/2020,31,31
DNK,3/9/2020,38,38
DNK,3/10/2020,113,113
DNK,3/11/2020,264,264
DNK,3/12/2020,516,516
DNK,3/13/2020,676,676
DNK,3/14/2020,804,804
DNK,3/15/2020,827,827
DNK,3/16/2020,875,875
DNK,3/17/2020,932,7630
DNK,3/18/2020,1024,7630
DNK,3/19/2020,1115,8847
DNK,3/20/2020,1151,11657
DNK,3/21/2020,1255,12351
DNK,3/22/2020,1326,12843
DNK,3/23/2020,1395,13756
DNK,3/24/2020,1460,13756
DNK,3/25/2020,1591,14870
DNK,3/26/2020,1724,15981
DNK,3/27/2020,1877,17275
DNK,3/28/2020,2046,18810
DNK,3/29/2020,2201,20198
DNK,3/30/2020,2395,21378
DNK,3/31/2020,2577,23763
DNK,4/1/2020,2860,26776
DNK,4/2/2020,3107,29921
DNK,4/3/2020,3386,34388
DNK,4/4/2020,3757,39928
DNK,4/5/2020,4077,43734
DNK,4/6/2020,4369,46916
DNK,4/7/2020,4681,51544
DNK,4/8/2020,5071,57535
DNK,4/9/2020,5402,62210
DNK,4/10/2020,5635,64731
DNK,4/11/2020,5819,67771
DNK,4/12/2020,5996,70125
DNK,4/13/2020,6174,72099
DNK,4/14/2020,6318,73919
DNK,4/15/2020,6511,77712
DNK,4/16/2020,6681,82380
DNK,4/17/2020,6879,87024
DNK,4/18/2020,7073,91437
DNK,4/19/2020,7242,94277
DNK,4/20/2020,7384,96244
DNK,4/21/2020,7515,100543
DNK,4/22/2020,7695,108465
DNK,4/23/2020,7912,116621
DNK,4/24/2020,8073,125329
DNK,4/25/2020,8210,136738
DNK,4/26/2020,8445,146915
DNK,4/27/2020,8575,155810
DNK,4/28/2020,8698,166846
DNK,4/29/2020,8851,180062
DNK,4/30/2020,9008,193165
DNK,5/1/2020,9158,206576
DNK,5/2/2020,9311,221912
DNK,5/3/2020,9407,233799
DNK,5/4/2020,9523,244791
DNK,5/5/2020,9670,257738
DNK,5/6/2020,9821,270680
DNK,5/7/2020,9983,284480
DNK,5/8/2020,10083,298488
DNK,5/9/2020,10218,308984
DNK,5/10/2020,10319,317834
DNK,5/11/2020,10429,326560
DNK,5/12/2020,10513,334260
DNK,5/13/2020,10591,334260
FIN,12/31/2019,0,0
FIN,1/1/2020,0,0
FIN,1/2/2020,0,0
FIN,1/3/2020,0,0
FIN,1/4/2020,0,0
FIN,1/5/2020,0,0
FIN,1/6/2020,0,0
FIN,1/7/2020,0,0
FIN,1/8/2020,0,0
FIN,1/9/2020,0,0
FIN,1/10/2020,0,0
FIN,1/11/2020,0,0
FIN,1/12/2020,0,0
FIN,1/13/2020,0,0
FIN,1/14/2020,0,0
FIN,1/15/2020,0,0
FIN,1/16/2020,0,0
FIN,1/17/2020,0,0
FIN,1/18/2020,0,0
FIN,1/19/2020,0,0
FIN,1/20/2020,0,0
FIN,1/21/2020,0,0
FIN,1/22/2020,0,0
FIN,1/23/2020,0,0
FIN,1/24/2020,0,0
FIN,1/25/2020,0,0
FIN,1/26/2020,0,0
FIN,1/27/2020,0,0
FIN,1/28/2020,0,0
FIN,1/29/2020,0,0
FIN,1/30/2020,1,1
FIN,1/31/2020,1,1
FIN,2/1/2020,1,1
FIN,2/2/2020,1,1
FIN,2/3/2020,1,1
FIN,2/4/2020,1,1
FIN,2/5/2020,1,1
FIN,2/6/2020,1,1
FIN,2/7/2020,1,1
FIN,2/8/2020,1,1
FIN,2/9/2020,1,1
FIN,2/10/2020,1,1
FIN,2/11/2020,1,1
FIN,2/12/2020,1,1
FIN,2/13/2020,1,1
FIN,2/14/2020,1,1
FIN,2/15/2020,1,1
FIN,2/16/2020,1,1
FIN,2/17/2020,1,1
FIN,2/18/2020,1,1
FIN,2/19/2020,1,1
FIN,2/20/2020,1,1
FIN,2/21/2020,1,1
FIN,2/22/2020,1,1
FIN,2/23/2020,1,1
FIN,2/24/2020,1,1
FIN,2/25/2020,1,1
FIN,2/26/2020,1,1
FIN,2/27/2020,2,9
FIN,2/28/2020,2,367
FIN,2/29/2020,3,382
FIN,3/1/2020,3,398
FIN,3/2/2020,6,398
FIN,3/3/2020,0,449
FIN,3/4/2020,7,534
FIN,3/5/2020,0,614
FIN,3/6/2020,12,719
FIN,3/7/2020,19,739
FIN,3/8/2020,0,753
FIN,3/9/2020,30,875
FIN,3/10/2020,40,1003
FIN,3/11/2020,0,1166
FIN,3/12/2020,59,1515
FIN,3/13/2020,155,1924
FIN,3/14/2020,183,2519
FIN,3/15/2020,210,3163
FIN,3/16/2020,267,3975
FIN,3/17/2020,272,5092
FIN,3/18/2020,319,6107
FIN,3/19/2020,369,6883
FIN,3/20/2020,400,8151
FIN,3/21/2020,450,9746
FIN,3/22/2020,521,10798
FIN,3/23/2020,626,12117
FIN,3/24/2020,700,13696
FIN,3/25/2020,792,15545
FIN,3/26/2020,880,17382
FIN,3/27/2020,958,19387
FIN,3/28/2020,1025,20594
FIN,3/29/2020,1218,21177
FIN,3/30/2020,1218,22258
FIN,3/31/2020,1313,23343
FIN,4/1/2020,1384,24910
FIN,4/2/2020,1446,27163
FIN,4/3/2020,1518,28852
FIN,4/4/2020,1615,32075
FIN,4/5/2020,1882,33722
FIN,4/6/2020,1927,35692
FIN,4/7/2020,2176,37812
FIN,4/8/2020,2308,41113
FIN,4/9/2020,2487,43547
FIN,4/10/2020,2605,46790
FIN,4/11/2020,2769,48108
FIN,4/12/2020,2905,49696
FIN,4/13/2020,2974,50616
FIN,4/14/2020,3064,51807
FIN,4/15/2020,3161,54098
FIN,4/16/2020,3237,57560
FIN,4/17/2020,3369,60274
FIN,4/18/2020,3489,63872
FIN,4/19/2020,3681,66231
FIN,4/20/2020,3783,68021
FIN,4/21/2020,3868,71528
FIN,4/22/2020,4014,75650
FIN,4/23/2020,4129,79230
FIN,4/24/2020,4284,83390
FIN,4/25/2020,4395,86381
FIN,4/26/2020,4475,88853
FIN,4/27/2020,4576,91250
FIN,4/28/2020,4695,94604
FIN,4/29/2020,4740,98575
FIN,4/30/2020,4906,102221
FIN,5/1/2020,4995,104988
FIN,5/2/2020,5051,106364
FIN,5/3/2020,5179,107972
FIN,5/4/2020,5254,109562
FIN,5/5/2020,5327,112915
FIN,5/6/2020,5412,116305
FIN,5/7/2020,5573,119648
FIN,5/8/2020,5673,122292
FIN,5/9/2020,5738,124409
FIN,5/10/2020,5880,125944
FIN,5/11/2020,5962,126327
FIN,5/12/2020,5984,126327
FIN,5/13/2020,6003,126327
ISL,12/31/2019,0,0
ISL,1/1/2020,0,0
ISL,1/2/2020,0,0
ISL,1/3/2020,0,0
ISL,1/4/2020,0,0
ISL,1/5/2020,0,0
ISL,1/6/2020,0,0
ISL,1/7/2020,0,0
ISL,1/8/2020,0,0
ISL,1/9/2020,0,0
ISL,1/10/2020,0,0
ISL,1/11/2020,0,0
ISL,1/12/2020,0,0
ISL,1/13/2020,0,0
ISL,1/14/2020,0,0
ISL,1/15/2020,0,0
ISL,1/16/2020,0,0
ISL,1/17/2020,0,0
ISL,1/18/2020,0,0
ISL,1/19/2020,0,0
ISL,1/20/2020,0,0
ISL,1/21/2020,0,0
ISL,1/22/2020,0,0
ISL,1/23/2020,0,0
ISL,1/24/2020,0,0
ISL,1/25/2020,0,0
ISL,1/26/2020,0,0
ISL,1/27/2020,0,0
ISL,1/28/2020,0,0
